GridID,TimeInterval,DataCount
10.0,2012-11-04 07:40:00-2012-11-04 08:00:00,2
10.0,2012-11-04 11:20:00-2012-11-04 11:40:00,1
10.0,2012-11-04 11:40:00-2012-11-04 12:00:00,1
10.0,2012-11-04 12:00:00-2012-11-04 12:20:00,1
10.0,2012-11-04 13:00:00-2012-11-04 13:20:00,1
10.0,2012-11-04 14:20:00-2012-11-04 14:40:00,1
10.0,2012-11-04 14:40:00-2012-11-04 15:00:00,2
10.0,2012-11-04 16:00:00-2012-11-04 16:20:00,3
10.0,2012-11-04 17:00:00-2012-11-04 17:20:00,2
10.0,2012-11-04 23:20:00-2012-11-04 23:40:00,1
100.0,2012-11-04 05:20:00-2012-11-04 05:40:00,2
100.0,2012-11-04 06:40:00-2012-11-04 07:00:00,1
100.0,2012-11-04 07:40:00-2012-11-04 08:00:00,2
100.0,2012-11-04 08:40:00-2012-11-04 09:00:00,1
100.0,2012-11-04 09:20:00-2012-11-04 09:40:00,1
100.0,2012-11-04 10:00:00-2012-11-04 10:20:00,1
100.0,2012-11-04 11:40:00-2012-11-04 12:00:00,3
100.0,2012-11-04 12:20:00-2012-11-04 12:40:00,2
100.0,2012-11-04 12:40:00-2012-11-04 13:00:00,1
100.0,2012-11-04 13:00:00-2012-11-04 13:20:00,1
100.0,2012-11-04 13:40:00-2012-11-04 14:00:00,1
100.0,2012-11-04 21:00:00-2012-11-04 21:20:00,1
11.0,2012-11-04 02:00:00-2012-11-04 02:20:00,2
11.0,2012-11-04 04:20:00-2012-11-04 04:40:00,2
11.0,2012-11-04 05:40:00-2012-11-04 06:00:00,4
11.0,2012-11-04 06:20:00-2012-11-04 06:40:00,1
11.0,2012-11-04 06:40:00-2012-11-04 07:00:00,3
11.0,2012-11-04 07:00:00-2012-11-04 07:20:00,4
11.0,2012-11-04 07:20:00-2012-11-04 07:40:00,8
11.0,2012-11-04 07:40:00-2012-11-04 08:00:00,6
11.0,2012-11-04 08:00:00-2012-11-04 08:20:00,11
11.0,2012-11-04 08:20:00-2012-11-04 08:40:00,9
