GridID,TimeInterval,DataCount
11.0,2012-11-01 18:40:00-2012-11-01 19:00:00,4
11.0,2012-11-01 19:00:00-2012-11-01 19:20:00,1
11.0,2012-11-01 19:20:00-2012-11-01 19:40:00,2
11.0,2012-11-01 19:40:00-2012-11-01 20:00:00,2
11.0,2012-11-01 20:00:00-2012-11-01 20:20:00,2
11.0,2012-11-01 20:20:00-2012-11-01 20:40:00,1
11.0,2012-11-01 20:40:00-2012-11-01 21:00:00,5
11.0,2012-11-01 21:00:00-2012-11-01 21:20:00,6
11.0,2012-11-01 21:20:00-2012-11-01 21:40:00,2
11.0,2012-11-01 21:40:00-2012-11-01 22:00:00,1
11.0,2012-11-01 22:00:00-2012-11-01 22:20:00,3
11.0,2012-11-01 22:20:00-2012-11-01 22:40:00,3
11.0,2012-11-01 23:00:00-2012-11-01 23:20:00,1
11.0,2012-11-01 23:20:00-2012-11-01 23:40:00,1
12.0,2012-11-01 00:00:00-2012-11-01 00:20:00,2
12.0,2012-11-01 00:20:00-2012-11-01 00:40:00,12
12.0,2012-11-01 00:40:00-2012-11-01 01:00:00,8
12.0,2012-11-01 01:00:00-2012-11-01 01:20:00,4
12.0,2012-11-01 01:20:00-2012-11-01 01:40:00,4
12.0,2012-11-01 01:40:00-2012-11-01 02:00:00,6
12.0,2012-11-01 02:20:00-2012-11-01 02:40:00,2
12.0,2012-11-01 02:40:00-2012-11-01 03:00:00,1
12.0,2012-11-01 03:00:00-2012-11-01 03:20:00,2
12.0,2012-11-01 03:20:00-2012-11-01 03:40:00,2
12.0,2012-11-01 04:00:00-2012-11-01 04:20:00,1
12.0,2012-11-01 04:40:00-2012-11-01 05:00:00,1
12.0,2012-11-01 05:00:00-2012-11-01 05:20:00,8
12.0,2012-11-01 05:20:00-2012-11-01 05:40:00,4
12.0,2012-11-01 05:40:00-2012-11-01 06:00:00,14
12.0,2012-11-01 06:00:00-2012-11-01 06:20:00,7
12.0,2012-11-01 06:20:00-2012-11-01 06:40:00,30
12.0,2012-11-01 06:40:00-2012-11-01 07:00:00,23
12.0,2012-11-01 07:00:00-2012-11-01 07:20:00,33
12.0,2012-11-01 07:20:00-2012-11-01 07:40:00,30
12.0,2012-11-01 07:40:00-2012-11-01 08:00:00,37
12.0,2012-11-01 08:00:00-2012-11-01 08:20:00,53
12.0,2012-11-01 08:20:00-2012-11-01 08:40:00,36
12.0,2012-11-01 08:40:00-2012-11-01 09:00:00,49
12.0,2012-11-01 09:00:00-2012-11-01 09:20:00,49
12.0,2012-11-01 09:20:00-2012-11-01 09:40:00,61
12.0,2012-11-01 09:40:00-2012-11-01 10:00:00,35
12.0,2012-11-01 10:00:00-2012-11-01 10:20:00,37
12.0,2012-11-01 10:20:00-2012-11-01 10:40:00,22
12.0,2012-11-01 10:40:00-2012-11-01 11:00:00,34
12.0,2012-11-01 11:00:00-2012-11-01 11:20:00,26
12.0,2012-11-01 11:20:00-2012-11-01 11:40:00,23
