GridID,TimeInterval,DataCount
1.0,2012-11-07 06:40:00-2012-11-07 07:00:00,1
1.0,2012-11-07 08:00:00-2012-11-07 08:20:00,1
1.0,2012-11-07 15:40:00-2012-11-07 16:00:00,1
1.0,2012-11-07 22:40:00-2012-11-07 23:00:00,1
10.0,2012-11-07 00:40:00-2012-11-07 01:00:00,2
10.0,2012-11-07 08:00:00-2012-11-07 08:20:00,1
10.0,2012-11-07 08:20:00-2012-11-07 08:40:00,2
10.0,2012-11-07 08:40:00-2012-11-07 09:00:00,2
10.0,2012-11-07 09:20:00-2012-11-07 09:40:00,1
10.0,2012-11-07 10:20:00-2012-11-07 10:40:00,4
10.0,2012-11-07 10:40:00-2012-11-07 11:00:00,2
10.0,2012-11-07 11:00:00-2012-11-07 11:20:00,2
10.0,2012-11-07 11:40:00-2012-11-07 12:00:00,1
10.0,2012-11-07 12:00:00-2012-11-07 12:20:00,1
10.0,2012-11-07 12:20:00-2012-11-07 12:40:00,3
10.0,2012-11-07 13:00:00-2012-11-07 13:20:00,4
10.0,2012-11-07 13:20:00-2012-11-07 13:40:00,2
10.0,2012-11-07 14:40:00-2012-11-07 15:00:00,3
10.0,2012-11-07 15:00:00-2012-11-07 15:20:00,2
10.0,2012-11-07 15:20:00-2012-11-07 15:40:00,1
10.0,2012-11-07 15:40:00-2012-11-07 16:00:00,4
10.0,2012-11-07 16:00:00-2012-11-07 16:20:00,2
10.0,2012-11-07 16:20:00-2012-11-07 16:40:00,2
10.0,2012-11-07 16:40:00-2012-11-07 17:00:00,1
10.0,2012-11-07 17:00:00-2012-11-07 17:20:00,2
10.0,2012-11-07 17:40:00-2012-11-07 18:00:00,2
10.0,2012-11-07 18:00:00-2012-11-07 18:20:00,3
10.0,2012-11-07 19:00:00-2012-11-07 19:20:00,1
10.0,2012-11-07 19:20:00-2012-11-07 19:40:00,1
10.0,2012-11-07 19:40:00-2012-11-07 20:00:00,2
10.0,2012-11-07 20:00:00-2012-11-07 20:20:00,1
10.0,2012-11-07 20:20:00-2012-11-07 20:40:00,1
