GridID,TimeInterval,DataCount
1.0,2012-11-05 18:00:00-2012-11-05 18:20:00,1
10.0,2012-11-05 06:00:00-2012-11-05 06:20:00,2
10.0,2012-11-05 06:20:00-2012-11-05 06:40:00,1
10.0,2012-11-05 06:40:00-2012-11-05 07:00:00,1
10.0,2012-11-05 07:40:00-2012-11-05 08:00:00,1
10.0,2012-11-05 08:00:00-2012-11-05 08:20:00,1
10.0,2012-11-05 08:20:00-2012-11-05 08:40:00,3
10.0,2012-11-05 08:40:00-2012-11-05 09:00:00,6
10.0,2012-11-05 09:00:00-2012-11-05 09:20:00,1
10.0,2012-11-05 10:00:00-2012-11-05 10:20:00,2
10.0,2012-11-05 10:20:00-2012-11-05 10:40:00,3
10.0,2012-11-05 10:40:00-2012-11-05 11:00:00,2
10.0,2012-11-05 12:20:00-2012-11-05 12:40:00,2
10.0,2012-11-05 12:40:00-2012-11-05 13:00:00,2
10.0,2012-11-05 13:20:00-2012-11-05 13:40:00,1
10.0,2012-11-05 14:00:00-2012-11-05 14:20:00,1
10.0,2012-11-05 14:40:00-2012-11-05 15:00:00,3
10.0,2012-11-05 15:00:00-2012-11-05 15:20:00,3
10.0,2012-11-05 15:20:00-2012-11-05 15:40:00,2
10.0,2012-11-05 16:20:00-2012-11-05 16:40:00,3
10.0,2012-11-05 16:40:00-2012-11-05 17:00:00,3
10.0,2012-11-05 17:00:00-2012-11-05 17:20:00,5
10.0,2012-11-05 18:00:00-2012-11-05 18:20:00,2
10.0,2012-11-05 18:20:00-2012-11-05 18:40:00,1
10.0,2012-11-05 18:40:00-2012-11-05 19:00:00,1
10.0,2012-11-05 19:00:00-2012-11-05 19:20:00,2
10.0,2012-11-05 19:40:00-2012-11-05 20:00:00,1
10.0,2012-11-05 20:00:00-2012-11-05 20:20:00,1
10.0,2012-11-05 20:40:00-2012-11-05 21:00:00,4
10.0,2012-11-05 23:20:00-2012-11-05 23:40:00,3
10.0,2012-11-05 23:40:00-2012-11-06 00:00:00,1
100.0,2012-11-05 05:40:00-2012-11-05 06:00:00,2
100.0,2012-11-05 06:40:00-2012-11-05 07:00:00,2
100.0,2012-11-05 07:00:00-2012-11-05 07:20:00,2
100.0,2012-11-05 07:20:00-2012-11-05 07:40:00,2
100.0,2012-11-05 08:20:00-2012-11-05 08:40:00,4
100.0,2012-11-05 08:40:00-2012-11-05 09:00:00,3
100.0,2012-11-05 09:20:00-2012-11-05 09:40:00,2
100.0,2012-11-05 10:00:00-2012-11-05 10:20:00,2
100.0,2012-11-05 10:20:00-2012-11-05 10:40:00,1
100.0,2012-11-05 11:00:00-2012-11-05 11:20:00,1
100.0,2012-11-05 11:20:00-2012-11-05 11:40:00,2
100.0,2012-11-05 14:20:00-2012-11-05 14:40:00,2
100.0,2012-11-05 15:40:00-2012-11-05 16:00:00,1
100.0,2012-11-05 16:20:00-2012-11-05 16:40:00,1
100.0,2012-11-05 16:40:00-2012-11-05 17:00:00,2
100.0,2012-11-05 17:40:00-2012-11-05 18:00:00,2
100.0,2012-11-05 19:40:00-2012-11-05 20:00:00,2
100.0,2012-11-05 20:40:00-2012-11-05 21:00:00,2
100.0,2012-11-05 22:00:00-2012-11-05 22:20:00,1
100.0,2012-11-05 23:00:00-2012-11-05 23:20:00,1
100.0,2012-11-05 23:20:00-2012-11-05 23:40:00,1
11.0,2012-11-05 05:00:00-2012-11-05 05:20:00,4
11.0,2012-11-05 05:20:00-2012-11-05 05:40:00,2
11.0,2012-11-05 05:40:00-2012-11-05 06:00:00,1
11.0,2012-11-05 06:00:00-2012-11-05 06:20:00,6
11.0,2012-11-05 06:20:00-2012-11-05 06:40:00,12
11.0,2012-11-05 06:40:00-2012-11-05 07:00:00,20
11.0,2012-11-05 07:00:00-2012-11-05 07:20:00,21
11.0,2012-11-05 07:20:00-2012-11-05 07:40:00,17
11.0,2012-11-05 07:40:00-2012-11-05 08:00:00,37
11.0,2012-11-05 08:00:00-2012-11-05 08:20:00,23
11.0,2012-11-05 08:20:00-2012-11-05 08:40:00,18
11.0,2012-11-05 08:40:00-2012-11-05 09:00:00,19
11.0,2012-11-05 09:00:00-2012-11-05 09:20:00,15
11.0,2012-11-05 09:20:00-2012-11-05 09:40:00,6
11.0,2012-11-05 09:40:00-2012-11-05 10:00:00,5
11.0,2012-11-05 10:00:00-2012-11-05 10:20:00,4
